rank,company,revenue ($ millions),profit ($ millions)
391,Hershey,7791.1,1177.6
392,PPL,7785,1827
393,Dean Foods,7755.3,-326.9
394,Builders FirstSource,7724.8,205.2
395,Oshkosh,7705.5,471.9
396,EnLink Midstream,7699,-13.2
397,W.R. Berkley,7691.7,640.7
398,WEC Energy Group,7679.5,1059.3
399,JetBlue Airways,7658,188
400,UGI,7651.2,718.7
401,A-Mark Precious Metals,7606.2,-3.4
402,Fidelity National Financial,7594,628
403,Constellation Brands,7585,2318.9
404,Quest Diagnostics,7531,736
405,Activision Blizzard,7500,1813
406,Weyerhaeuser,7476,748
407,Raymond James Financial,7475.8,856.7
408,Casey's General Stores,7472.1,317.9
409,Keurig Dr Pepper,7442,586
410,American Tower,7440.1,1236.4
411,Apache,7424,40
412,Dover,7395.8,570.3
413,KeyCorp,7393,1866
414,J.M. Smucker,7357.1,1338.6
415,Citizens Financial Group,7354,1721
416,Motorola Solutions,7343,966
417,Magellan Health,7314.2,24.2
418,American Axle & Manufacturing,7270.4,-57.5
419,Newmont Goldcorp,7253,341
420,Spirit AeroSystems Holdings,7222,617
421,Western & Southern Financial Group,7205,495
422,Fortive,7203.2,2913.8
423,Graybar Electric,7202.5,143.3
424,NVR,7189.7,797.2
425,Avery Dennison,7159,467.4
426,Celanese,7155,1207
427,American Financial Group,7150,530
428,Toll Brothers,7143.3,748.2
429,Sanmina,7110.1,-95.5
430,Insight Enterprises,7080.1,163.7
431,Owens Corning,7057,545
432,Packaging Corp. of America,7014.6,738
433,TravelCenters of America,6973.6,-120.6
434,Olin,6946.1,327.9
435,Arthur J. Gallagher,6934,633.5
436,MasTec,6909.4,259.7
437,Alleghany,6887.2,39.5
438,Owens-Illinois,6877,257
439,Asbury Automotive Group,6874.4,168
440,CMS Energy,6873,657
441,Markel,6841.3,-128.2
442,Blackstone Group,6833.3,1541.8
443,AK Steel Holding,6818.2,186
444,Hanesbrands,6804,553.1
445,R.R. Donnelley & Sons,6800.2,-11
446,Wayfair,6779.2,-504.1
447,Regions Financial,6762,1759
448,Wynn Resorts,6717.7,572.4
449,Ulta Beauty,6716.6,658.6
450,Regeneron Pharmaceuticals,6710.8,2444.4
451,Burlington Stores,6668.5,414.7
452,Rockwell Automation,6666,535.5
453,Northern Trust,6658.9,1556.4
454,Chemours,6638,995
455,Seaboard,6583,-17
456,Marathon Oil,6582,1096
457,Ascena Retail Group,6578.3,-39.7
458,Dillard's,6503.3,170.3
